5	4	8	38	83	28	6	4	33	17	14	24	36	18	11	17	82	24	6	6	12	14	18	50	22	10	7	16	45	33	17	17	5	3	5	28	106	56	9	5	49	20	13	27	57	32	10	12	125	39	6	7	15	12	10	44	27	8	7	27	78	45	14	14	5	3	4	25	114	69	8	4	46	9	6	20	66	47	17	19	125	46	9	9	15	10	7	40	28	17	13	35	75	37	9	9	5	4	6	25	94	56	6	2	26	14	8	18	55	42	13	13	83	55	15	11	12	9	8	23	26	26	16	25	39	20	9	12
38	21	13	14	9	6	8	21	62	25	9	7	8	11	17	41	31	15	11	13	19	23	31	35	34	13	8	8	10	16	27	43	58	29	15	12	9	8	9	22	119	34	6	3	3	9	23	67	46	10	5	9	21	44	65	64	43	9	4	5	8	17	50	85	60	26	11	10	11	13	13	24	128	73	9	2	2	3	6	36	94	32	9	8	10	19	37	73	43	8	4	6	7	12	43	87	42	17	7	7	9	12	14	28	111	41	6	2	2	4	9	59	102	37	8	3	2	3	13	70	33	16	14	16	10	7	15	41
16	50	80	43	11	5	5	7	72	88	54	15	4	3	6	21	55	38	15	10	10	11	12	30	10	11	14	24	28	22	12	8	33	39	55	45	29	23	17	14	128	82	23	6	2	2	7	58	84	29	25	34	17	7	9	35	8	17	34	46	35	14	7	5	25	8	8	11	21	62	85	44	123	51	12	7	4	14	42	81	50	44	45	50	24	9	6	11	7	18	38	53	33	12	7	6	11	10	8	7	9	36	68	35	28	14	11	13	14	26	52	51	16	19	24	36	29	18	14	15	8	13	23	40	28	15	8	7
10	11	29	55	36	15	13	12	12	18	39	67	53	18	8	7	58	38	24	20	14	9	12	34	26	15	10	11	14	15	18	25	8	17	59	85	42	12	8	7	31	27	48	88	58	19	10	9	120	63	18	15	9	6	10	45	37	16	12	18	21	20	19	25	12	12	30	47	38	31	42	31	25	7	12	29	28	45	93	74	110	31	8	7	8	16	56	85	32	26	21	22	20	14	13	17	17	6	7	9	15	32	64	53	20	7	8	11	14	30	80	68	20	12	13	17	22	28	47	39	15	17	17	17	17	17	18	18
27	20	24	25	15	11	16	25	82	37	12	8	4	6	15	46	57	16	5	3	4	7	15	39	12	5	3	4	8	10	11	12	41	54	63	46	16	7	8	16	137	79	22	8	3	2	7	49	91	19	7	7	8	10	15	42	14	8	7	8	8	8	9	12	60	32	32	30	17	14	29	64	141	56	8	3	1	2	13	106	94	27	11	9	8	8	10	35	13	8	6	8	9	8	9	13	49	8	4	4	6	14	57	108	90	9	3	3	2	4	32	127	39	11	6	6	6	7	13	40	8	6	6	10	10	7	7	8
23	35	33	21	12	9	11	15	25	40	39	22	12	10	14	18	29	31	21	13	11	10	15	20	12	11	10	11	13	16	15	14	32	61	59	32	15	8	10	18	37	70	90	57	20	17	16	16	119	90	41	13	6	7	10	32	32	12	9	15	22	23	18	18	56	28	19	14	12	16	37	78	44	14	13	14	18	58	103	93	117	31	9	7	8	18	57	95	37	19	20	26	24	17	11	17	58	19	7	6	6	10	32	75	43	22	17	15	15	21	47	65	39	24	17	18	20	21	31	40	19	17	17	22	23	15	12	14
21	10	5	32	108	29	3	4	122	43	6	9	23	5	3	29	58	19	7	7	10	8	9	24	12	9	6	8	17	14	8	9	28	7	3	39	136	36	2	5	145	29	2	8	33	6	2	41	81	15	7	11	16	14	11	27	17	12	8	10	19	13	8	10	29	5	2	37	136	39	2	6	145	42	2	7	33	8	2	27	83	29	10	12	16	11	7	14	17	11	7	12	20	12	8	11	21	5	4	29	106	30	4	9	121	33	3	5	24	9	4	34	62	27	9	7	9	6	5	15	13	10	8	12	17	9	6	8
17	19	24	23	15	14	15	16	36	34	27	18	12	13	16	24	51	31	13	9	10	15	25	38	18	11	8	9	16	28	33	25	20	18	18	18	17	30	44	31	46	40	33	27	28	42	35	22	118	67	17	6	5	9	17	47	34	15	12	18	25	32	33	27	24	16	13	8	10	35	67	49	20	10	15	15	25	85	99	43	107	44	40	20	8	18	45	69	29	36	64	49	24	12	8	11	20	32	47	29	12	11	18	19	11	30	72	64	27	18	18	11	14	38	88	66	21	9	11	11	18	37	74	43	11	5	7	11
12	10	11	15	16	13	9	10	89	35	10	11	13	10	7	18	167	54	2	1	1	1	1	32	51	11	3	5	12	7	5	13	16	11	9	11	17	19	16	15	105	25	8	14	25	22	12	19	170	45	1	1	2	1	1	32	74	12	4	7	14	8	6	16	17	16	12	11	16	15	13	13	92	19	9	14	26	23	14	26	170	49	1	1	1	2	2	41	75	20	6	8	13	6	5	12	11	13	12	11	17	15	10	8	57	33	14	13	17	11	7	13	165	88	4	1	1	1	1	18	66	34	8	7	7	3	2	7
15	10	9	13	24	43	47	29	9	7	12	21	39	76	68	26	22	11	10	10	20	51	82	55	20	12	8	7	11	32	70	49	19	23	29	33	32	28	24	21	19	24	50	84	70	41	21	10	111	56	27	20	13	19	42	56	27	10	11	19	26	43	57	37	16	15	19	26	35	38	31	23	20	7	10	30	60	83	64	33	111	37	14	11	11	25	42	69	30	26	32	35	30	20	14	13	18	15	13	12	18	26	27	22	16	10	13	18	25	43	45	27	22	18	19	21	22	30	36	29	16	18	24	23	21	18	17	15
22	22	21	19	15	11	15	20	28	35	35	27	16	13	14	19	27	31	26	27	31	20	15	18	10	13	18	37	53	25	10	8	18	19	30	42	27	17	17	20	26	45	74	85	42	11	6	9	107	84	45	26	29	17	8	21	17	11	12	40	93	54	12	8	11	17	33	53	42	23	11	10	47	15	23	59	54	29	23	37	121	30	6	9	25	15	15	79	23	7	6	29	101	62	15	13	11	10	14	22	33	34	23	15	45	16	10	14	18	29	37	49	84	30	9	10	16	13	18	59	16	10	10	25	64	38	15	13
33	81	77	27	8	5	5	10	48	107	84	26	9	6	8	14	20	45	68	66	33	15	11	11	12	21	46	57	31	18	10	8	45	60	59	30	17	12	9	15	127	97	45	13	9	7	9	50	45	27	43	72	64	32	19	24	16	25	45	54	34	18	14	14	39	18	11	9	12	14	14	23	116	57	29	16	6	3	5	31	26	25	48	75	46	12	5	8	18	16	23	31	22	13	15	16	13	9	5	4	5	6	8	11	21	17	13	8	5	5	7	11	9	10	16	17	9	5	7	9	10	9	11	12	7	6	8	9
16	20	36	51	30	11	10	14	36	62	57	34	13	6	8	11	18	27	38	38	25	13	10	9	6	13	25	35	30	15	8	5	17	18	32	96	91	15	5	7	119	71	36	36	22	5	5	30	41	19	26	59	61	23	11	15	15	22	32	42	35	14	9	11	30	11	14	72	96	29	11	19	122	38	11	20	24	9	10	60	38	15	18	61	75	31	11	14	22	16	18	31	35	21	17	24	34	15	13	30	46	27	18	30	82	30	13	14	16	12	17	59	22	15	18	36	48	29	15	18	18	12	15	28	31	18	13	18
22	28	23	16	14	12	12	16	48	77	39	11	6	5	7	18	55	82	30	7	4	6	6	16	24	28	17	9	12	15	10	10	22	21	19	24	24	19	16	19	42	68	56	49	32	12	7	11	125	107	33	8	3	3	4	33	52	31	15	11	14	19	17	23	15	24	34	42	27	14	9	11	69	29	29	47	39	19	13	31	131	72	11	4	3	3	7	74	60	40	15	11	16	19	17	25	11	17	25	31	25	17	11	9	51	43	26	24	17	14	12	19	103	111	26	6	3	2	4	19	51	77	28	9	7	4	4	9
31	20	11	9	9	6	4	8	97	36	7	7	18	11	6	26	20	9	10	32	82	36	8	9	15	16	14	17	26	16	9	9	43	17	8	10	13	10	6	11	144	35	2	3	21	18	7	40	38	6	4	24	128	82	11	13	19	20	13	15	37	26	13	13	42	12	5	8	14	14	9	12	145	39	1	3	17	9	3	30	57	11	2	16	130	87	7	7	16	14	9	13	55	47	15	13	28	11	4	5	12	13	9	12	122	40	3	2	6	4	5	30	48	19	5	17	91	55	7	8	10	7	5	13	59	48	12	8
14	11	12	18	15	10	8	11	39	20	12	9	5	4	6	22	24	8	3	3	5	8	11	23	6	3	2	4	8	13	12	9	25	14	17	40	60	35	15	15	127	38	13	13	13	8	9	74	62	16	13	14	16	16	20	51	14	9	10	14	17	14	11	14	28	14	16	57	95	51	16	15	126	101	35	19	21	11	7	42	79	70	52	28	15	9	12	33	23	20	19	20	20	12	13	21	22	11	14	46	81	43	22	23	101	41	13	12	20	16	27	88	78	32	14	12	12	11	26	73	20	14	14	23	26	16	15	22
161	37	3	3	2	1	3	73	105	19	3	3	4	3	5	42	23	8	4	6	8	7	6	12	9	3	3	5	11	8	5	6	168	44	2	2	2	1	4	79	120	23	6	7	7	4	4	31	42	12	6	8	13	9	6	11	12	5	3	8	14	7	3	6	163	53	2	1	3	3	4	65	111	26	4	5	7	6	6	24	40	11	6	9	10	7	5	12	10	5	4	11	13	6	3	5	144	49	3	1	3	3	4	45	80	30	5	4	4	4	5	17	22	11	6	8	6	4	4	8	8	4	5	12	13	3	2	4
30	33	26	16	13	15	21	24	17	20	21	22	31	39	37	24	17	15	15	19	27	38	40	25	18	15	15	13	16	24	28	21	44	75	66	27	10	6	8	15	104	53	27	13	14	25	39	51	22	7	7	16	46	74	66	34	17	13	13	15	24	36	36	26	84	71	38	17	10	8	9	29	124	74	17	9	7	5	7	44	36	24	19	34	58	45	20	15	15	14	14	21	30	33	26	18	70	62	20	9	9	11	12	25	100	92	26	7	5	4	5	25	34	46	33	26	26	18	10	13	12	15	20	29	28	18	12	10
